feature1,feature2
0.0,-677.5354999437563
1.0,-973.1808334350212
2.0,-699.5930191400407
3.0,418.0631517484489
4.0,-24.67760403649675
5.0,-437.0378901856921
6.0,-90.08162648127445
7.0,1061.5918845732153
8.0,-782.9334042897198
9.0,774.3661450394019
10.0,-339.4699389283441
11.0,68.97663408639002
12.0,-823.6963300535821
13.0,124.11334425779651
14.0,104.67153533457221
15.0,760.7186435308698
16.0,-73.96324592699887
17.0,-1319.984449762938
18.0,-335.55736254651976
19.0,-260.6929279396461
20.0,-588.4382176386839
21.0,771.995899804703
22.0,-389.47752947985146
23.0,-1555.6856182096635
24.0,-605.2982807892379
25.0,66.58273585454123
26.0,-505.42753809699303
27.0,674.3678653544154
28.0,-624.7714180766482
29.0,288.0385441266737
30.0,-610.6537418712978
31.0,-1064.994696603106
32.0,-248.75070364221983
33.0,909.1236272719897
34.0,130.39115717689788
35.0,-244.72643609147778
36.0,-45.773920205341135
37.0,-797.3829677946926
38.0,-116.50365333236556
39.0,1138.0391650536515
40.0,-81.30362190407685
41.0,-1555.6713432252805
42.0,-315.4185254175395
43.0,-902.399326659498
44.0,185.16343480058595
45.0,1441.7001049765215
46.0,-100.93903919314316
47.0,-952.468644103602
48.0,-444.4271479427661
49.0,613.1148317711973
50.0,71.76943798170511
51.0,1076.1920628691703
52.0,-98.22169994916192
53.0,-259.5271427919914
54.0,-233.6771931702494
55.0,-389.1523889363312
56.0,207.0811738689281
57.0,1099.663795032868
58.0,361.57857871805476
59.0,266.8098179337878
60.0,-332.9608480870671
61.0,-697.8258528982892
62.0,367.4652450877048
63.0,1232.1513717600603
64.0,-77.86002791629284
65.0,173.51503169341723
66.0,-295.95010170559317
67.0,-452.81155059035746
68.0,153.13044002398718
69.0,857.2635613025545
70.0,-30.06657513044047
71.0,161.24717537208232
72.0,612.3520525362386
73.0,-992.8354914070746
74.0,591.9836194269496
75.0,1249.961660904738
76.0,-1.3153985627142264
77.0,1281.8892137654282
78.0,202.76229177958197
79.0,55.89475530772734
80.0,524.8459271617804
81.0,1074.124873340507
82.0,60.66556011221603
83.0,-545.8507999760964
84.0,-12.761704130207697
85.0,318.72223867248255
86.0,269.475373049434
87.0,1285.338167954183
88.0,176.01695186880616
89.0,521.8996774803597
90.0,616.9434617848701
91.0,1634.9056622429803
92.0,401.7673163816314
93.0,1394.887096398141
94.0,125.69443389893532
95.0,1.9924438823815667
96.0,135.38584194528792
97.0,-38.30887815527251
98.0,125.11943782386366
99.0,1761.0040778713508
100.0,979.3248647979374
101.0,197.29926561835782
102.0,200.44535643531108
103.0,-40.03110713651813
104.0,339.20342354019147
105.0,1477.611444389451
106.0,923.2973487569016
107.0,511.8796521911743
108.0,530.1612832985207
109.0,189.00031205428638
110.0,351.82978710840155
111.0,1834.8062197566094
112.0,673.6928737160615
113.0,-559.0334957277589
114.0,953.8575390541394
115.0,608.1157209585419
116.0,250.71187771418388
117.0,2086.635137249709
118.0,1095.0597105011757
119.0,1598.7737108646893
120.0,338.45891329621355
121.0,412.56979906019126
122.0,285.2324513903462
123.0,1535.6143130252165
124.0,585.6876275586208
125.0,1131.2782312689192
126.0,550.1949227532878
127.0,1240.1333996714309
128.0,588.3683272537351
129.0,1864.955120911249
130.0,865.1023242991472
131.0,137.77793913220103
132.0,370.09500406728455
133.0,1450.5035473841197
134.0,1181.7101215261637
135.0,1554.0908921254245
136.0,1192.8483184508073
137.0,451.3252109377536
138.0,390.83031350064715
139.0,588.8979543841351
140.0,1276.4972145438257
141.0,1409.9387901794512
142.0,662.1003439531813
143.0,1483.4194883548626
144.0,910.0150785111833
145.0,1378.9209740694794
146.0,906.5642250445088
147.0,1840.8281850007334
148.0,1218.4726706537028
149.0,733.3615240517022
150.0,633.1578950854562
151.0,1169.26013014614
152.0,635.505117267582
153.0,1891.2356614791167
154.0,1008.4086808003863
155.0,1282.4922876991893
156.0,1450.7095896662831
157.0,1206.6324414339642
158.0,926.320943528545
159.0,2024.5658911365983
160.0,1466.2744632568217
161.0,2336.0818669989135
162.0,952.9476493164257
163.0,50.97783262085932
164.0,1198.6782252263365
165.0,2315.7879184263593
166.0,1179.5399955297366
167.0,1523.6030779173157
168.0,861.5019770336379
169.0,-101.22149632057244
170.0,1652.1454465188694
171.0,1826.4295803900627
172.0,1522.4339871002885
173.0,555.8143191785371
174.0,1615.1983197112502
175.0,813.5090842124579
176.0,1512.0468408147324
177.0,1836.78623297817
178.0,826.3726045520648
179.0,164.95524727729935
180.0,1398.0323932661545
181.0,36.1886386895676
182.0,830.2285662433667
183.0,2226.4134813042606
